Organisation;Internetadresse;AGS;Typ;PLZ;Landkreis;Bundesland
Wildpoldsried;https://www.wildpoldsried.de;09780147;Gemeinde in Deutschland ohne Stadtrecht;87499;Landkreis Oberallgäu;Bayern
Wiggensbach;https://www.wiggensbach.de;09780146;Gemeinde in Deutschland ohne Stadtrecht;87487;Landkreis Oberallgäu;Bayern
Wertach;https://www.wertach.de;09780145;Gemeinde in Deutschland ohne Stadtrecht;87497;Landkreis Oberallgäu;Bayern
Weitnau;https://www.weitnau.de;09780144;Markt in Deutschland;87480;Landkreis Oberallgäu;Bayern
Waltenhofen;https://www.waltenhofen.de;09780143;Gemeinde in Deutschland ohne Stadtrecht;87448;Landkreis Oberallgäu;Bayern
Sulzberg;http://www.sulzberg.de;09780140;Gemeinde in Deutschland ohne Stadtrecht;87477;Landkreis Oberallgäu;Bayern
Sonthofen;https://www.stadt-sonthofen.de;09780139;Stadt in Deutschland;87527;Landkreis Oberallgäu;Bayern
Rettenberg;http://www.rettenberg.de;09780137;Gemeinde in Deutschland ohne Stadtrecht;87549;Landkreis Oberallgäu;Bayern
Ofterschwang;http://www.ofterschwang.de;09780134;Gemeinde in Deutschland ohne Stadtrecht;87527;Landkreis Oberallgäu;Bayern
Oberstdorf;http://www.markt-oberstdorf.de;09780133;Gemeinde in Deutschland ohne Stadtrecht;87561;Landkreis Oberallgäu;Bayern
Oberstaufen;https://www.oberstaufen.info;09780132;Gemeinde in Deutschland ohne Stadtrecht;87534;Landkreis Oberallgäu;Bayern
Obermaiselstein;http://www.obermaiselstein.de;09780131;Gemeinde in Deutschland ohne Stadtrecht;87538;Landkreis Oberallgäu;Bayern
Oy-Mittelberg;https://www.oy-mittelberg.de;09780128;Kneippkurort;87466;Landkreis Oberallgäu;Bayern
Missen-Wilhams;https://missen-wilhams.de;09780127;Gemeinde in Deutschland ohne Stadtrecht;87547;Landkreis Oberallgäu;Bayern
Lauben;http://www.lauben.de;09780125;Gemeinde in Deutschland ohne Stadtrecht;87493;Landkreis Oberallgäu;Bayern
Immenstadt im Allgäu;https://www.stadt-immenstadt.de;09780124;Stadt in Deutschland;87509;Landkreis Oberallgäu;Bayern
Bad Hindelang;http://marktgemeinde.badhindelang.de;09780123;Kurort;87541;Landkreis Oberallgäu;Bayern
Haldenwang;https://www.haldenwang.de;09780122;Gemeinde in Deutschland ohne Stadtrecht;87490;Landkreis Oberallgäu;Bayern
Fischen im Allgäu;http://www.fischen.de;09780121;Heilklimatischer Kurort;87538;Landkreis Oberallgäu;Bayern
Durach;http://www.durach-allgaeu.de;09780120;Gemeinde in Deutschland ohne Stadtrecht;87471;Landkreis Oberallgäu;Bayern
Dietmannsried;https://www.dietmannsried.de;09780119;Markt in Deutschland;87463;Landkreis Oberallgäu;Bayern
Burgberg im Allgäu;http://www.burgberg.de;09780118;Gemeinde in Deutschland ohne Stadtrecht;87545;Landkreis Oberallgäu;Bayern
Buchenberg;https://www.buchenberg.de;09780117;Markt in Deutschland;87474;Landkreis Oberallgäu;Bayern
Bolsterlang;http://www.bolsterlang.de;09780116;Gemeinde in Deutschland ohne Stadtrecht;87538;Landkreis Oberallgäu;Bayern
Blaichach;http://www.blaichach.de;09780115;Gemeinde in Deutschland ohne Stadtrecht;87544;Landkreis Oberallgäu;Bayern
